save_id,value,trackName
bi8wnhce5hjd7qbkh587hw25l5polgnt,"A could hear more string pluck, B isn't as sharp.",bass_solo_dry
lt601o74ixkhkj4lzjh2s2k5mctns54h,,bass_solo_wet
8sqn5b0nyc2jv91n3vkgud8fphmczft4,Hard one. Had more character in selection.,bass_solo_dry
f2nrem6sa71z0v5th10kmf29tz1dsldo,Sound the same.,bass_solo_dry
0aqdvgro7qjjc7hkhn60m7xjwx5yoqvo,warmth to B.,bass_solo_dry
nz2ae3ljcdcc0gi1c71wwmf9uiolr9tp,,bass_solo_dry
9muwh3ur2ms2k1wnhubi1n2b47yygj8k,Selected seemed more like it had EQ.,bass_solo_dry
rw4oua9rip2ucujlfmxan74iz0cfab5g,Very similar. just liked more.,bass_solo_wet
o7u4f0y6ueshkwxo127lzbzx1az654ny,,bass_solo_dry
c4zm85wbbgwfsyf63lzyydbtldjcxrfz,Bit more low end drive in A. Preference in a bass sound. A little less bright but personally prefer.,bass_solo_wet
