save_id,value,trackName
bi8wnhce5hjd7qbkh587hw25l5polgnt,"B sounds more levelled out, but a tiny bit more quiet in parts. A's vocal is too loud.",midnights_user_mix_p1
lt601o74ixkhkj4lzjh2s2k5mctns54h,Needs more 3.5kHz in chosen one.,midnights_user_mix_p1
8sqn5b0nyc2jv91n3vkgud8fphmczft4,Selected sounds so much clearer.,midnights_user_mix_p1
f2nrem6sa71z0v5th10kmf29tz1dsldo,"Selected had much better relationship between kick and bass, less bass overall so high end could breathe a bit.",midnights_no_eq_p1
0aqdvgro7qjjc7hkhn60m7xjwx5yoqvo,Drums in B had more oomf/presence. Boost in higher frequencies in B,midnights_no_eq_p1
nz2ae3ljcdcc0gi1c71wwmf9uiolr9tp,"Chosen one has more high tones, opposite seems to feel more tucked in, chosen sounds a bit more raw and natural.",midnights_no_eq_p1
9muwh3ur2ms2k1wnhubi1n2b47yygj8k,"Selected felt more natural, second one seemed to clash a bit.",midnights_no_eq_p1
rw4oua9rip2ucujlfmxan74iz0cfab5g,"Vocals more prominent on A, second one sounded a bit muddy. Instrument seperation sounded better in second one. on paper a better mix but didn't like it as much bc of vocal mix.",midnights_user_mix_p1
o7u4f0y6ueshkwxo127lzbzx1az654ny,"Vocals felt less strong in the B, selected had better high mids.",midnights_user_mix_p1
c4zm85wbbgwfsyf63lzyydbtldjcxrfz,"Pretty similar, vocals more nasaly in B",midnights_no_eq_p1
