save_id,value,trackName
bi8wnhce5hjd7qbkh587hw25l5polgnt,"B - ""very loud"" when listening. Guitar on A felt like it was competeing a bit more. On B can hear more plosives and breath (but personal prefence). Feels natural in B.",EBYT_no_eq_p3
lt601o74ixkhkj4lzjh2s2k5mctns54h,"Snare a little too harsh in A, cymbals and vocal fight for space in 6-7kHz range. Selected - instantly more lowend in the bass, top end of snare is a bit smoother.",EBYT_no_eq_p3
8sqn5b0nyc2jv91n3vkgud8fphmczft4,"Guitars mixed a bit better in chosen, could hear more clarity.",EBYT_no_eq_p3
f2nrem6sa71z0v5th10kmf29tz1dsldo,"Both very similar. Selected had more bass on bass guitar, but other than that everything in both felt the same. In both, snare was in the way of vocal in high mids.",EBYT_no_eq_p3
0aqdvgro7qjjc7hkhn60m7xjwx5yoqvo,Felt vocals had more presence in B.,EBYT_no_eq_p3
nz2ae3ljcdcc0gi1c71wwmf9uiolr9tp,"Selected's vocal balance was better, everything seemed a bit more full.",EBYT_no_eq_p3
9muwh3ur2ms2k1wnhubi1n2b47yygj8k,Sounded more like the original than them all. Had more guitar presence which quite liked in selected.,EBYT_no_eq_p3
rw4oua9rip2ucujlfmxan74iz0cfab5g,"More balanced mix with B, A sounded good but vocals got lost in second half again. B vocals were much more consistent, both volume and frequency wise. The other instruments in A clashed too much with the vocals.",EBYT_no_eq_p3
o7u4f0y6ueshkwxo127lzbzx1az654ny,Same with guitars as Jack.,EBYT_no_eq_p3
c4zm85wbbgwfsyf63lzyydbtldjcxrfz,"Parts of A preffered over B and vice versa, but B overall slightly. Little more low end and vocal presence in B.",EBYT_no_eq_p3
