save_id,value,trackName
bi8wnhce5hjd7qbkh587hw25l5polgnt,"Could hear more higher freqs. in A, B sounds like its been tamed or source.",strings_wet_solo
lt601o74ixkhkj4lzjh2s2k5mctns54h,,strings_wet_solo
8sqn5b0nyc2jv91n3vkgud8fphmczft4,Chosen has more low end cello coming through. Weird fuzz on the second one.,strings_wet_solo
f2nrem6sa71z0v5th10kmf29tz1dsldo,Sound the same.,strings_wet_solo
0aqdvgro7qjjc7hkhn60m7xjwx5yoqvo,"""warmer??? maybe???""",strings_wet_solo
nz2ae3ljcdcc0gi1c71wwmf9uiolr9tp,,strings_wet_solo
9muwh3ur2ms2k1wnhubi1n2b47yygj8k,Certain points in selected one that seemed to have louder chords.,strings_wet_solo
rw4oua9rip2ucujlfmxan74iz0cfab5g,"A sounded clearer, almost like could imagine the violins in front of you. B felt more ""listening through speakers"".",strings_wet_solo
o7u4f0y6ueshkwxo127lzbzx1az654ny,Selected sounded fuller.,strings_wet_solo
c4zm85wbbgwfsyf63lzyydbtldjcxrfz,found A a little warmer.,strings_dry_solo
